location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,population,cases_per_million,deaths_per_million,vax_per_hundred,cfr
USA,2020-07-26,12071212,487201,132783,5359,0,331000000,36468.9,401.2,0.0,1.1
USA,2020-08-02,12570781,499569,138278,5495,0,331000000,37978.2,417.8,0.0,1.1
USA,2020-08-09,13085811,515030,143943,5665,0,331000000,39534.2,434.9,0.0,1.1
USA,2020-08-16,13619169,533358,149810,5867,0,331000000,41145.5,452.6,0.0,1.1
USA,2020-08-23,14173373,554204,155907,6097,0,331000000,42819.9,471.0,0.0,1.1
USA,2020-08-30,14750486,577113,162255,6348,0,331000000,44563.4,490.2,0.0,1.1
USA,2020-09-06,15352034,601548,168872,6617,0,331000000,46380.8,510.2,0.0,1.1
USA,2020-09-13,15978946,626912,175768,6896,0,331000000,48274.8,531.0,0.0,1.1
USA,2020-09-20,16631517,652571,182946,7178,0,331000000,50246.3,552.7,0.0,1.1
USA,2020-09-27,17309398,677881,190403,7457,0,331000000,52294.3,575.2,0.0,1.1
USA,2020-10-04,18011609,702211,198127,7724,0,331000000,54415.7,598.6,0.0,1.1
USA,2020-10-11,18736581,724972,206102,7975,0,331000000,56606.0,622.7,0.0,1.1
USA,2020-10-18,19482212,745631,214304,8202,0,331000000,58858.6,647.4,0.0,1.1
USA,2020-10-25,20245952,763740,222705,8401,0,331000000,61166.0,672.8,0.0,1.1
USA,2020-11-01,21024892,778940,231273,8568,0,331000000,63519.3,698.7,0.0,1.1
USA,2020-11-08,21815876,790984,239974,8701,0,331000000,65909.0,725.0,0.0,1.1
USA,2020-11-15,22615615,799739,248771,8797,0,331000000,68325.1,751.6,0.0,1.1
USA,2020-11-22,23420806,805191,257628,8857,0,331000000,70757.7,778.3,0.0,1.1
USA,2020-11-29,24228252,807446,266510,8882,0,331000000,73197.1,805.2,0.0,1.1
USA,2020-12-06,25034974,806722,275384,8874,0,331000000,75634.4,832.0,0.0,1.1
USA,2020-12-13,25838317,803343,284221,8837,0,331000000,78061.4,858.7,0.0,1.1
USA,2020-12-20,26636046,797729,292996,8775,0,331000000,80471.4,885.2,0.0,1.1
USA,2020-12-27,27426418,790372,301690,8694,0,331000000,82859.3,911.5,0.0,1.1
USA,2021-01-03,28208249,781831,310290,8600,0,331000000,85221.3,937.4,0.0,1.1
USA,2021-01-10,28980949,772700,318790,8500,0,331000000,87555.7,963.1,0.0,1.1
USA,2021-01-17,29744545,763596,327189,8399,0,331000000,89862.7,988.5,0.0,1.1
USA,2021-01-24,30499678,755133,335496,8307,0,331000000,92144.0,1013.6,0.0,1.1
USA,2021-01-31,31247583,747905,343723,8227,2813500,331000000,94403.6,1038.4,0.85,1.1
USA,2021-02-07,31990047,742464,351890,8167,5627000,331000000,96646.7,1063.1,1.7,1.1
USA,2021-02-14,32729352,739305,360022,8132,8440500,331000000,98880.2,1087.7,2.55,1.1
USA,2021-02-21,33468198,738846,368150,8128,11254000,331000000,101112.4,1112.2,3.4,1.1
USA,2021-02-28,34209618,741420,376305,8155,14067500,331000000,103352.3,1136.9,4.25,1.1
USA,2021-03-07,34956884,747266,384525,8220,16881000,331000000,105609.9,1161.7,5.1,1.1
USA,2021-03-14,35713400,756516,392847,8322,19694500,331000000,107895.5,1186.8,5.95,1.1
USA,2021-03-21,36482602,769202,401308,8461,22508000,331000000,110219.3,1212.4,6.8,1.1
USA,2021-03-28,37267851,785249,409946,8638,25321500,331000000,112591.7,1238.5,7.65,1.1
USA,2021-04-04,38072332,804481,418795,8849,28135000,331000000,115022.2,1265.2,8.5,1.1
USA,2021-04-11,38898966,826634,427888,9093,30948500,331000000,117519.5,1292.7,9.35,1.1
USA,2021-04-18,39750318,851352,437253,9365,33762000,331000000,120091.6,1321.0,10.2,1.1
USA,2021-04-25,40628531,878213,446913,9660,36575500,331000000,122744.8,1350.2,11.05,1.1
USA,2021-05-02,41535267,906736,456887,9974,39389000,331000000,125484.2,1380.3,11.9,1.1
USA,2021-05-09,42471662,936395,467188,10301,42202500,331000000,128313.2,1411.4,12.75,1.1
USA,2021-05-16,43438299,966637,477821,10633,45016000,331000000,131233.5,1443.6,13.6,1.1
USA,2021-05-23,44435196,996897,488787,10966,47829500,331000000,134245.3,1476.7,14.45,1.1
USA,2021-05-30,45461815,1026619,500079,11292,50643000,331000000,137346.9,1510.8,15.3,1.1
USA,2021-06-06,46517074,1055259,511687,11608,53456500,331000000,140535.0,1545.9,16.15,1.1
USA,2021-06-13,47599388,1082314,523593,11906,56270000,331000000,143804.8,1581.9,17.0,1.1
USA,2021-06-20,48706713,1107325,535773,12180,59083500,331000000,147150.2,1618.6,17.85,1.1
USA,2021-06-27,49836601,1129888,548202,12429,61897000,331000000,150563.7,1656.2,18.7,1.1
USA,2021-07-04,50986274,1149673,560849,12647,64710500,331000000,154037.1,1694.4,19.55,1.1
USA,2021-07-11,52152688,1166414,573679,12830,67524000,331000000,157561.0,1733.2,20.4,1.1
USA,2021-07-18,53332617,1179929,586658,12979,70337500,331000000,161125.7,1772.4,21.25,1.1
USA,2021-07-25,54522731,1190114,599750,13092,73151000,331000000,164721.2,1811.9,22.1,1.1
USA,2021-08-01,55719671,1196940,612916,13166,75964500,331000000,168337.4,1851.7,22.95,1.1
USA,2021-08-08,56920127,1200456,626121,13205,78778000,331000000,171964.1,1891.6,23.8,1.1
USA,2021-08-15,58120908,1200781,639329,13208,81591500,331000000,175591.9,1931.5,24.65,1.1
USA,2021-08-22,59319005,1198097,652509,13180,84405000,331000000,179211.5,1971.3,25.5,1.1
USA,2021-08-29,60511645,1192640,665628,13119,87218500,331000000,182814.6,2011.0,26.35,1.1
USA,2021-09-05,61696335,1184690,678659,13031,90032000,331000000,186393.8,2050.3,27.2,1.1
USA,2021-09-12,62870893,1174558,691579,12920,92845500,331000000,189942.3,2089.4,28.05,1.1
USA,2021-09-19,64033477,1162584,704368,12789,95659000,331000000,193454.6,2128.0,28.9,1.1
USA,2021-09-26,65182584,1149107,717008,12640,98472500,331000000,196926.2,2166.2,29.75,1.1
USA,2021-10-03,66317058,1134474,729487,12479,101286000,331000000,200353.6,2203.9,30.6,1.1
USA,2021-10-10,67436074,1119016,741796,12309,104099500,331000000,203734.4,2241.1,31.45,1.1
USA,2021-10-17,68539114,1103040,753930,12134,106913000,331000000,207066.8,2277.7,32.3,1.1
USA,2021-10-24,69625939,1086825,765885,11955,109726500,331000000,210350.3,2313.9,33.15,1.1
USA,2021-10-31,70696548,1070609,777662,11777,112540000,331000000,213584.7,2349.4,34.0,1.1
USA,2021-11-07,71751139,1054591,789262,11600,115353499,331000000,216770.8,2384.5,34.85,1.1
USA,2021-11-14,72790056,1038917,800690,11428,118167000,331000000,219909.5,2419.0,35.7,1.1
USA,2021-11-21,73813745,1023689,811951,11261,120980500,331000000,223002.3,2453.0,36.55,1.1
USA,2021-11-28,74822700,1008955,823049,11098,123794000,331000000,226050.5,2486.6,37.4,1.1
USA,2021-12-05,75817418,994718,833991,10942,126607500,331000000,229055.6,2519.6,38.25,1.1
USA,2021-12-12,76798357,980939,844781,10790,129421000,331000000,232019.2,2552.2,39.1,1.1
USA,2021-12-19,77765889,967532,855424,10643,132234500,331000000,234942.3,2584.4,39.95,1.1
USA,2021-12-26,78720272,954383,865922,10498,135048000,331000000,237825.6,2616.1,40.8,1.1
USA,2022-01-02,79661619,941347,876277,10355,137861500,331000000,240669.5,2647.4,41.65,1.1
USA,2022-01-09,80589881,928262,886488,10211,140675000,331000000,243474.0,2678.2,42.5,1.1
USA,2022-01-16,81504827,914946,896553,10065,143488500,331000000,246238.1,2708.6,43.35,1.1
USA,2022-01-23,82406048,901221,906466,9913,146302000,331000000,248960.9,2738.6,44.2,1.1
USA,2022-01-30,83292951,886903,916222,9756,149115500,331000000,251640.3,2768.0,45.05,1.1
USA,2022-02-06,84164773,871822,925812,9590,151929000,331000000,254274.2,2797.0,45.9,1.1
USA,2022-02-13,85020596,855823,935226,9414,154742500,331000000,256859.8,2825.5,46.75,1.1
USA,2022-02-20,85859363,838767,944452,9226,157556000,331000000,259393.8,2853.3,47.6,1.1
USA,2022-02-27,86679910,820547,953479,9027,160369500,331000000,261872.8,2880.6,48.45,1.1
USA,2022-03-06,87480989,801079,962290,8811,163183000,331000000,264293.0,2907.2,49.3,1.1
USA,2022-03-13,88261305,780316,970874,8584,165996500,331000000,266650.5,2933.2,50.15,1.1
USA,2022-03-20,89019541,758236,979214,8340,168810000,331000000,268941.2,2958.4,51.0,1.1
USA,2022-03-27,89754400,734859,987298,8084,171623500,331000000,271161.3,2982.8,51.85,1.1
USA,2022-04-03,90464626,710226,995110,7812,174437000,331000000,273307.0,3006.4,52.7,1.1
USA,2022-04-10,91149044,684418,1002639,7529,177250500,331000000,275374.8,3029.1,53.55,1.1
USA,2022-04-17,91806581,657537,1009872,7233,180064000,331000000,277361.3,3051.0,54.4,1.1
USA,2022-04-24,92436294,629713,1016799,6927,182877500,331000000,279263.7,3071.9,55.25,1.1
USA,2022-05-01,93037388,601094,1023411,6612,185691000,331000000,281079.7,3091.9,56.1,1.1
USA,2022-05-08,93609233,571845,1029701,6290,188504500,331000000,282807.4,3110.9,56.95,1.1
USA,2022-05-15,94151378,542145,1035665,5964,191318000,331000000,284445.3,3128.9,57.8,1.1
USA,2022-05-22,94663558,512180,1041299,5634,194131500,331000000,285992.6,3145.9,58.65,1.1
USA,2022-05-29,95145694,482136,1046602,5303,196945000,331000000,287449.2,3161.9,59.5,1.1
USA,2022-06-05,95597899,452205,1051576,4974,199758500,331000000,288815.4,3177.0,60.35,1.1
USA,2022-06-12,96020466,422567,1056225,4649,202572000,331000000,290092.0,3191.0,61.2,1.1
USA,2022-06-19,96413864,393398,1060552,4327,205385500,331000000,291280.6,3204.1,62.05,1.1
USA,2022-06-26,96778729,364865,1064566,4014,208199000,331000000,292382.9,3216.2,62.9,1.1
USA,2022-07-03,97115843,337114,1068274,3708,211012500,331000000,293401.3,3227.4,63.75,1.1
USA,2022-07-10,97426126,310283,1071687,3413,213826000,331000000,294338.7,3237.7,64.6,1.1
USA,2022-07-17,97710613,284487,1074816,3129,216639500,331000000,295198.2,3247.2,65.45,1.1
USA,2022-07-24,97970440,259827,1077674,2858,219453000,331000000,295983.2,3255.8,66.3,1.1
USA,2022-07-31,98206821,236381,1080275,2601,222266500,331000000,296697.3,3263.7,67.15,1.1
USA,2022-08-07,98421032,214211,1082631,2356,225080000,331000000,297344.5,3270.8,68.0,1.1
USA,2022-08-14,98614391,193359,1084758,2127,225080000,331000000,297928.7,3277.2,68.0,1.1
USA,2022-08-21,98788244,173853,1086670,1912,225080000,331000000,298453.9,3283.0,68.0,1.1
USA,2022-08-28,98943942,155698,1088383,1713,225080000,331000000,298924.3,3288.2,68.0,1.1
USA,2022-09-04,99082831,138889,1089911,1528,225080000,331000000,299343.9,3292.8,68.0,1.1
USA,2022-09-11,99206236,123405,1091268,1357,225080000,331000000,299716.7,3296.9,68.0,1.1
USA,2022-09-18,99315449,109213,1092469,1201,225080000,331000000,300046.7,3300.5,68.0,1.1
USA,2022-09-25,99411719,96270,1093528,1059,225080000,331000000,300337.5,3303.7,68.0,1.1
USA,2022-10-02,99496242,84523,1094458,930,225080000,331000000,300592.9,3306.5,68.0,1.1
USA,2022-10-09,99570158,73916,1095271,813,225080000,331000000,300816.2,3309.0,68.0,1.1
USA,2022-10-16,99634541,64383,1095979,708,225080000,331000000,301010.7,3311.1,68.0,1.1
USA,2022-10-23,99690397,55856,1096594,615,225080000,331000000,301179.4,3313.0,68.0,1.1
USA,2022-10-30,99738662,48265,1097125,531,225080000,331000000,301325.3,3314.6,68.0,1.1
USA,2022-11-06,99780203,41541,1097582,457,225080000,331000000,301450.8,3316.0,68.0,1.1
USA,2022-11-13,99815812,35609,1097973,391,225080000,331000000,301558.3,3317.1,68.0,1.1
USA,2022-11-20,99846217,30405,1098308,335,225080000,331000000,301650.2,3318.2,68.0,1.1
USA,2022-11-27,99872073,25856,1098592,284,225080000,331000000,301728.3,3319.0,68.0,1.1
USA,2022-12-04,99893974,21901,1098833,241,225080000,331000000,301794.5,3319.7,68.0,1.1
USA,2022-12-11,99912451,18477,1099036,203,225080000,331000000,301850.3,3320.4,68.0,1.1
USA,2022-12-18,99927977,15526,1099207,171,225080000,331000000,301897.2,3320.9,68.0,1.1
USA,2022-12-25,99940971,12994,1099350,143,225080000,331000000,301936.5,3321.3,68.0,1.1
USA,2023-01-01,99951803,10832,1099469,119,225080000,331000000,301969.2,3321.7,68.0,1.1
USA,2023-01-08,99960796,8993,1099568,99,225080000,331000000,301996.4,3322.0,68.0,1.1
USA,2023-01-15,99968233,7437,1099650,82,225080000,331000000,302018.8,3322.2,68.0,1.1
USA,2023-01-22,99974358,6125,1099717,67,225080000,331000000,302037.3,3322.4,68.0,1.1
USA,2023-01-29,99979384,5026,1099773,56,225080000,331000000,302052.5,3322.6,68.0,1.1
USA,2023-02-05,99983490,4106,1099818,45,225080000,331000000,302064.9,3322.7,68.0,1.1
USA,2023-02-12,99986831,3341,1099855,37,225080000,331000000,302075.0,3322.8,68.0,1.1
USA,2023-02-19,99989540,2709,1099884,29,225080000,331000000,302083.2,3322.9,68.0,1.1
USA,2023-02-26,99991726,2186,1099908,24,225080000,331000000,302089.8,3323.0,68.0,1.1
USA,2023-03-05,99993485,1759,1099928,20,225080000,331000000,302095.1,3323.0,68.0,1.1
USA,2023-03-12,99994893,1408,1099943,15,225080000,331000000,302099.4,3323.1,68.0,1.1
USA,2023-03-19,99996017,1124,1099956,13,225080000,331000000,302102.8,3323.1,68.0,1.1
USA,2023-03-26,99996909,892,1099966,10,225080000,331000000,302105.5,3323.2,68.0,1.1
USA,2023-04-02,99997616,707,1099973,7,225080000,331000000,302107.6,3323.2,68.0,1.1
USA,2023-04-09,99998173,557,1099979,6,225080000,331000000,302109.3,3323.2,68.0,1.1
USA,2023-04-16,99998610,437,1099984,5,225080000,331000000,302110.6,3323.2,68.0,1.1
USA,2023-04-23,99998952,342,1099988,4,225080000,331000000,302111.6,3323.2,68.0,1.1
USA,2023-04-30,99999218,266,1099991,3,225080000,331000000,302112.4,3323.2,68.0,1.1
USA,2023-05-07,99999424,206,1099993,2,225080000,331000000,302113.1,3323.2,68.0,1.1
USA,2023-05-14,99999584,160,1099995,2,225080000,331000000,302113.5,3323.2,68.0,1.1
USA,2023-05-21,99999706,122,1099996,1,225080000,331000000,302113.9,3323.3,68.0,1.1
USA,2023-05-28,99999801,95,1099997,1,225080000,331000000,302114.2,3323.3,68.0,1.1
USA,2023-06-04,99999872,71,1099998,1,225080000,331000000,302114.4,3323.3,68.0,1.1
USA,2023-06-11,99999927,55,1099999,1,225080000,331000000,302114.6,3323.3,68.0,1.1
USA,2023-06-18,99999968,41,1099999,0,225080000,331000000,302114.7,3323.3,68.0,1.1
USA,2023-06-25,100000000,32,1100000,1,225080000,331000000,302114.8,3323.3,68.0,1.1
India,2020-01-05,64303,64303,774,774,0,1380000000,46.6,0.6,0.0,1.204
India,2020-01-12,138713,74410,1670,896,0,1380000000,100.5,1.2,0.0,1.204
India,2020-01-19,223977,85264,2697,1027,0,1380000000,162.3,2.0,0.0,1.204
India,2020-01-26,320729,96752,3863,1166,0,1380000000,232.4,2.8,0.0,1.204
India,2020-02-02,429452,108723,5172,1309,0,1380000000,311.2,3.7,0.0,1.204
India,2020-02-09,550453,121001,6630,1458,0,1380000000,398.9,4.8,0.0,1.204
India,2020-02-16,683833,133380,8237,1607,0,1380000000,495.5,6.0,0.0,1.205
India,2020-02-23,829466,145633,9991,1754,0,1380000000,601.1,7.2,0.0,1.205
India,2020-03-01,986992,157526,11888,1897,0,1380000000,715.2,8.6,0.0,1.204
India,2020-03-08,1155810,168818,13922,2034,0,1380000000,837.5,10.1,0.0,1.205
India,2020-03-15,1335092,179282,16081,2159,0,1380000000,967.5,11.7,0.0,1.204
India,2020-03-22,1523802,188710,18354,2273,0,1380000000,1104.2,13.3,0.0,1.204
India,2020-03-29,1720729,196927,20726,2372,0,1380000000,1246.9,15.0,0.0,1.204
India,2020-04-05,1924527,203798,23181,2455,0,1380000000,1394.6,16.8,0.0,1.205
India,2020-04-12,2133770,209243,25702,2521,0,1380000000,1546.2,18.6,0.0,1.205
India,2020-04-19,2347004,213234,28270,2568,0,1380000000,1700.7,20.5,0.0,1.205
India,2020-04-26,2562811,215807,30870,2600,0,1380000000,1857.1,22.4,0.0,1.205
India,2020-05-03,2779869,217058,33484,2614,0,1380000000,2014.4,24.3,0.0,1.205
India,2020-05-10,2997010,217141,36100,2616,0,1380000000,2171.7,26.2,0.0,1.205
India,2020-05-17,3213271,216261,38705,2605,0,1380000000,2328.5,28.0,0.0,1.205
India,2020-05-24,3427936,214665,41291,2586,0,1380000000,2484.0,29.9,0.0,1.205
India,2020-05-31,3640572,212636,43852,2561,0,1380000000,2638.1,31.8,0.0,1.205
India,2020-06-07,3851044,210472,46387,2535,0,1380000000,2790.6,33.6,0.0,1.205
India,2020-06-14,4059522,208478,48898,2511,0,1380000000,2941.7,35.4,0.0,1.205
India,2020-06-21,4266468,206946,51391,2493,0,1380000000,3091.6,37.2,0.0,1.205
India,2020-06-28,4472621,206153,53874,2483,0,1380000000,3241.0,39.0,0.0,1.205
India,2020-07-05,4678954,206333,56360,2486,0,1380000000,3390.5,40.8,0.0,1.205
India,2020-07-12,4886633,207679,58861,2501,0,1380000000,3541.0,42.7,0.0,1.205
India,2020-07-19,5096965,210332,61395,2534,0,1380000000,3693.5,44.5,0.0,1.205
India,2020-07-26,5311333,214368,63977,2582,0,1380000000,3848.8,46.4,0.0,1.205
India,2020-08-02,5531143,219810,66625,2648,0,1380000000,4008.1,48.3,0.0,1.205
India,2020-08-09,5757756,226613,69354,2729,0,1380000000,4172.3,50.3,0.0,1.205
India,2020-08-16,5992434,234678,72181,2827,0,1380000000,4342.3,52.3,0.0,1.205
India,2020-08-23,6236284,243850,75118,2937,0,1380000000,4519.0,54.4,0.0,1.205
India,2020-08-30,6490214,253930,78177,3059,0,1380000000,4703.1,56.6,0.0,1.205
India,2020-09-06,6754895,264681,81365,3188,0,1380000000,4894.9,59.0,0.0,1.205
India,2020-09-13,7030736,275841,84688,3323,0,1380000000,5094.7,61.4,0.0,1.205
India,2020-09-20,7317867,287131,88147,3459,0,1380000000,5302.8,63.9,0.0,1.205
India,2020-09-27,7616135,298268,91739,3592,0,1380000000,5518.9,66.5,0.0,1.205
India,2020-10-04,7925108,308973,95461,3722,0,1380000000,5742.8,69.2,0.0,1.205
India,2020-10-11,8244095,318987,99303,3842,0,1380000000,5974.0,72.0,0.0,1.205
India,2020-10-18,8572173,328078,103255,3952,0,1380000000,6211.7,74.8,0.0,1.205
India,2020-10-25,8908219,336046,107303,4048,0,1380000000,6455.2,77.8,0.0,1.205
India,2020-11-01,9250952,342733,111431,4128,0,1380000000,6703.6,80.7,0.0,1.205
India,2020-11-08,9598985,348033,115624,4193,0,1380000000,6955.8,83.8,0.0,1.205
India,2020-11-15,9950870,351885,119862,4238,0,1380000000,7210.8,86.9,0.0,1.205
India,2020-11-22,10305154,354284,124130,4268,0,1380000000,7467.5,89.9,0.0,1.205
India,2020-11-29,10660431,355277,128409,4279,0,1380000000,7725.0,93.0,0.0,1.205
India,2020-12-06,11015388,354957,132685,4276,0,1380000000,7982.2,96.1,0.0,1.205
India,2020-12-13,11368859,353471,136943,4258,0,1380000000,8238.3,99.2,0.0,1.205
India,2020-12-20,11719860,351001,141171,4228,0,1380000000,8492.7,102.3,0.0,1.205
India,2020-12-27,12067624,347764,145360,4189,0,1380000000,8744.7,105.3,0.0,1.205
India,2021-01-03,12411629,344005,149503,4143,0,1380000000,8993.9,108.3,0.0,1.205
India,2021-01-10,12751617,339988,153599,4096,0,1380000000,9240.3,111.3,0.0,1.205
India,2021-01-17,13087599,335982,157646,4047,0,1380000000,9483.8,114.2,0.0,1.205
India,2021-01-24,13419858,332259,161648,4002,0,1380000000,9724.5,117.1,0.0,1.205
India,2021-01-31,13748936,329078,165612,3964,11557500,1380000000,9963.0,120.0,0.84,1.205
India,2021-02-07,14075620,326684,169547,3935,23115000,1380000000,10199.7,122.9,1.68,1.205
India,2021-02-14,14400915,325295,173465,3918,34672500,1380000000,10435.4,125.7,2.51,1.205
India,2021-02-21,14726007,325092,177381,3916,46230000,1380000000,10671.0,128.5,3.35,1.205
India,2021-02-28,15052232,326225,181310,3929,57787500,1380000000,10907.4,131.4,4.19,1.205
India,2021-03-07,15381029,328797,185271,3961,69345000,1380000000,11145.7,134.3,5.03,1.205
India,2021-03-14,15713896,332867,189281,4010,80902500,1380000000,11386.9,137.2,5.86,1.205
India,2021-03-21,16052345,338449,193357,4076,92460000,1380000000,11632.1,140.1,6.7,1.205
India,2021-03-28,16397854,345509,197519,4162,104017500,1380000000,11882.5,143.1,7.54,1.205
India,2021-04-04,16751826,353972,201783,4264,115575000,1380000000,12139.0,146.2,8.38,1.205
India,2021-04-11,17115545,363719,206164,4381,127132500,1380000000,12402.6,149.4,9.21,1.205
India,2021-04-18,17490139,374594,210676,4512,138690000,1380000000,12674.0,152.7,10.05,1.205
India,2021-04-25,17876553,386414,215331,4655,150247500,1380000000,12954.0,156.0,10.89,1.205
India,2021-05-02,18275517,398964,220136,4805,161805000,1380000000,13243.1,159.5,11.72,1.205
India,2021-05-09,18687531,412014,225099,4963,173362500,1380000000,13541.7,163.1,12.56,1.205
India,2021-05-16,19112851,425320,230222,5123,184920000,1380000000,13849.9,166.8,13.4,1.205
India,2021-05-23,19551486,438635,235506,5284,196477500,1380000000,14167.7,170.7,14.24,1.205
India,2021-05-30,20003198,451712,240947,5441,208035000,1380000000,14495.1,174.6,15.08,1.205
India,2021-06-06,20467512,464314,246540,5593,219592499,1380000000,14831.5,178.7,15.91,1.205
India,2021-06-13,20943731,476219,252276,5736,231150000,1380000000,15176.6,182.8,16.75,1.205
India,2021-06-20,21430953,487222,258145,5869,242707500,1380000000,15529.7,187.1,17.59,1.205
India,2021-06-27,21928104,497151,264133,5988,254265000,1380000000,15889.9,191.4,18.42,1.205
India,2021-07-04,22433960,505856,270227,6094,265822500,1380000000,16256.5,195.8,19.26,1.205
India,2021-07-11,22947182,513222,276409,6182,277380000,1380000000,16628.4,200.3,20.1,1.205
India,2021-07-18,23466351,519169,282662,6253,288937500,1380000000,17004.6,204.8,20.94,1.205
India,2021-07-25,23990001,523650,288970,6308,300495000,1380000000,17384.1,209.4,21.78,1.205
India,2021-08-01,24516655,526654,295314,6344,312052500,1380000000,17765.7,214.0,22.61,1.205
India,2021-08-08,25044855,528200,301676,6362,323610000,1380000000,18148.4,218.6,23.45,1.205
India,2021-08-15,25573199,528344,308040,6364,335167500,1380000000,18531.3,223.2,24.29,1.205
India,2021-08-22,26100362,527163,314390,6350,346725000,1380000000,18913.3,227.8,25.12,1.205
India,2021-08-29,26625124,524762,320711,6321,358282500,1380000000,19293.6,232.4,25.96,1.205
India,2021-09-05,27146387,521263,326990,6279,369840000,1380000000,19671.3,236.9,26.8,1.205
India,2021-09-12,27663193,516806,333215,6225,381397500,1380000000,20045.8,241.5,27.64,1.205
India,2021-09-19,28174729,511536,339377,6162,392955000,1380000000,20416.5,245.9,28.48,1.205
India,2021-09-26,28680337,505608,345467,6090,404512500,1380000000,20782.9,250.3,29.31,1.205
India,2021-10-03,29179505,499168,351480,6013,416070000,1380000000,21144.6,254.7,30.15,1.205
India,2021-10-10,29671872,492367,357411,5931,427627500,1380000000,21501.4,259.0,30.99,1.205
India,2021-10-17,30157210,485338,363257,5846,439184999,1380000000,21853.1,263.2,31.82,1.205
India,2021-10-24,30635413,478203,369017,5760,450742500,1380000000,22199.6,267.4,32.66,1.205
India,2021-10-31,31106481,471068,374691,5674,462300000,1380000000,22540.9,271.5,33.5,1.205
India,2021-11-07,31570501,464020,380281,5590,473857500,1380000000,22877.2,275.6,34.34,1.205
India,2021-11-14,32027625,457124,385787,5506,485415000,1380000000,23208.4,279.6,35.17,1.205
India,2021-11-21,32478047,450422,391212,5425,496972500,1380000000,23534.8,283.5,36.01,1.205
India,2021-11-28,32921988,443941,396560,5348,508530000,1380000000,23856.5,287.4,36.85,1.205
India,2021-12-05,33359664,437676,401832,5272,520087500,1380000000,24173.7,291.2,37.69,1.205
India,2021-12-12,33791277,431613,407031,5199,531645000,1380000000,24486.4,295.0,38.52,1.205
India,2021-12-19,34216991,425714,412159,5128,543202500,1380000000,24794.9,298.7,39.36,1.205
India,2021-12-26,34636919,419928,417217,5058,554760000,1380000000,25099.2,302.3,40.2,1.205
India,2022-01-02,35051112,414193,422206,4989,566317500,1380000000,25399.4,305.9,41.04,1.205
India,2022-01-09,35459547,408435,427126,4920,577875000,1380000000,25695.3,309.5,41.88,1.205
India,2022-01-16,35862124,402577,431975,4849,589432500,1380000000,25987.0,313.0,42.71,1.205
India,2022-01-23,36258661,396537,436752,4777,600990000,1380000000,26274.4,316.5,43.55,1.205
